iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
217,444416,63,14.123022,31.6984,,
218,446464,66,14.153229,29.5000,,
219,448512,70,14.251112,28.6857,,
220,450560,63,14.095265,31.6667,14.328871,50.0000
221,452608,63,14.225850,32.1905,,
222,454656,64,14.326327,30.7500,,
223,456704,72,14.126839,27.6389,,
224,458752,70,14.308995,28.2286,,
225,460800,71,14.087142,27.3521,14.322202,50.0000
226,462848,68,14.107504,29.6176,,
227,464896,68,13.983552,29.1029,,
228,466944,68,13.918942,29.0294,,
229,468992,71,13.930877,28.1549,,
230,471040,68,14.141482,29.0882,15.039258,50.0000
231,473088,63,14.051703,31.8095,,
232,475136,67,14.218847,29.7910,,
233,477184,65,14.166274,30.3231,,
234,479232,65,14.064248,30.4462,,
235,481280,64,14.090853,31.2500,14.058541,43.0000
236,483328,63,14.224849,31.7143,,
237,485376,67,14.449520,29.6119,,
238,487424,71,13.995505,27.8873,,
239,489472,59,14.216159,33.6949,,
240,491520,67,14.090139,29.0896,13.835711,50.0000
241,493568,65,14.275775,30.5692,,
242,495616,66,13.987341,30.5303,,
243,497664,69,13.979950,28.3333,,
244,499712,59,14.022595,33.6610,,
245,501760,59,13.909673,34.1356,14.665646,50.0000
246,503808,70,14.186578,28.7857,,
247,505856,64,14.069322,31.1250,,
248,507904,66,14.093715,29.4394,,
249,509952,67,14.094886,29.8209,,
250,512000,67,14.459755,29.7761,13.989469,35.7500
251,514048,66,13.971318,30.6818,,
252,516096,68,14.061638,29.0294,,
253,518144,59,14.194522,33.8475,,
254,520192,65,14.272473,30.4308,,
255,522240,61,14.040626,32.4918,14.347576,45.7500
256,524288,66,14.043783,30.7273,,
257,526336,66,14.007872,29.6970,,
258,528384,64,14.143915,31.0312,,
259,530432,67,14.202391,29.6119,,
260,532480,63,14.375883,31.3492,13.651940,41.5000
261,534528,70,14.179329,28.9714,,
262,536576,67,14.048488,29.1343,,
263,538624,62,14.323282,32.2258,,
264,540672,62,14.113706,32.3065,,
265,542720,61,14.303874,32.2623,14.517458,50.0000
266,544768,71,14.085759,28.2958,,
267,546816,68,14.126295,29.2647,,
268,548864,68,14.183204,29.1618,,
269,550912,66,14.130087,29.7424,,
270,552960,65,14.365546,30.6462,14.696619,38.0000
271,555008,68,14.423900,29.8529,,
272,557056,70,13.975748,27.9857,,
273,559104,65,14.108635,30.5385,,
274,561152,71,13.946601,27.9859,,
275,563200,61,14.292993,32.4098,14.590186,50.0000
276,565248,60,14.145542,33.2333,,
277,567296,63,14.180036,31.9048,,
278,569344,63,14.105306,31.5397,,
279,571392,61,14.198073,32.5902,,
280,573440,62,14.236536,32.1774,14.215408,39.7500
281,575488,65,13.946695,30.5231,,
282,577536,73,14.297837,27.3425,,
283,579584,55,13.894542,36.4727,,
284,581632,60,14.274189,33.3667,,
285,583680,74,14.184821,26.3514,14.504472,41.5000
286,585728,59,14.385199,34.0847,,
287,587776,63,14.277426,31.8571,,
288,589824,64,13.985686,30.5625,,
289,591872,61,13.942867,33.1311,,
290,593920,64,14.401683,30.2812,14.693295,50.0000
291,595968,72,14.081462,27.9861,,
292,598016,66,14.228073,30.1212,,
293,600064,63,14.093261,31.1111,,
